Title,Runtime,MPAA Rating,IMDb Score,Release Year
Escape from Mogadishu,121 min,TV-14,7.0,(2021)
"Batman: The Long Halloween, Part Two",87 min,R,7.2,(2021)
Jungle Cruise,127 min,PG-13,6.6,(2021)
Blood Red Sky,121 min,TV-MA,6.1,(2021)
The Last Letter from Your Lover,110 min,TV-MA,6.7,(2021)
Demonic,104 min,R,4.3,(I) (2021)
Old,108 min,PG-13,5.8,(2021)
Snake Eyes,121 min,PG-13,5.4,(2021)
Trollhunters: Rise of the Titans,104 min,TV-Y7,6.6,(2021)
Pig,92 min,R,6.9,(I) (2021)
Emergency Declaration,141 min,14A,6.9,(2021)
Vortex,142 min,PG,7.4,(2021)
Nitram,112 min,14A,7.1,(2021)
Jolt,91 min,R,5.6,(2021)
Memoria,136 min,PG,6.5,(I) (2021)
Out of Death,96 min,R,3.3,(2021)
Gunpowder Milkshake,114 min,R,6.0,(2021)
Red Rocket,130 min,R,7.2,(2021)
"Paris, 13th District",105 min,R,7.0,(2021)
Fear Street: Part Three - 1666,114 min,R,6.6,(2021)
Blue Bayou,117 min,R,7.1,(2021)
The French Dispatch,107 min,R,7.1,(2021)
Space Jam: A New Legacy,115 min,PG,4.5,(2021)
Bergman Island,112 min,R,6.7,(2021)
Drive My Car,179 min,Unrated,7.6,(2021)
Compartment Number 6,107 min,R,7.2,(2021)
After Yang,96 min,PG,6.7,(2021)
Stillwater,139 min,R,6.6,(2021)
Fear Street: Part Two - 1978,109 min,R,6.7,(2021)
Great Freedom,116 min,Unrated,7.5,(2021)
Annette,141 min,R,6.3,(2021)
Boiling Point,92 min,R,7.5,(I) (2021)
The Tomorrow War,138 min,PG-13,6.5,(2021)
Till Death,88 min,R,5.8,(I) (2021)
Escape Room: Tournament of Champions,88 min,PG-13,5.7,(2021)
The Boss Baby 2: Family Business,107 min,PG,5.9,(2021)
A Classic Horror Story,95 min,TV-MA,5.7,(2021)
Black Widow,134 min,PG-13,6.7,(2021)
The Forever Purge,103 min,R,5.4,(2021)
Fear Street: Part One - 1994,107 min,R,6.2,(2021)
The Ice Road,109 min,PG-13,5.6,(2021)
Lansky,119 min,R,6.2,(2021)
Good on Paper,92 min,Unrated,5.6,(2021)
"Batman: The Long Halloween, Part One",85 min,PG-13,7.2,(2021)
Clean,94 min,Not Rated,5.6,(IV) (2021)
No Sudden Move,115 min,R,6.4,(2021)
Fatherhood,109 min,PG-13,6.6,(I) (2021)
The Deep House,85 min,TV-MA,5.4,(2021)
False Positive,92 min,R,4.7,(2021)
Settlers,103 min,Not Rated,4.8,(2021)
Luca,95 min,PG,7.4,(2021)
Werewolves Within,97 min,R,6.0,(2021)
Ron's Gone Wrong,107 min,PG,7.0,(2021)
America: The Motion Picture,98 min,TV-MA,5.6,(2021)
Midnight in the Switchgrass,99 min,R,4.5,(2021)
The Novice,97 min,R,6.5,(2021)
12 Mighty Orphans,118 min,PG-13,6.9,(2021)
Infinite,106 min,PG-13,5.4,(2021)
Hitman's Wife's Bodyguard,100 min,R,6.1,(2021)
See for Me,92 min,14A,5.8,(2021)
In the Heights,143 min,PG-13,7.3,(2021)
Awake,96 min,TV-MA,4.9,(III) (2021)
The Misfits,94 min,R,4.4,(2021)
Everybody's Talking About Jamie,115 min,PG-13,6.5,(2021)
Blue Miracle,95 min,TV-PG,6.6,(2021)
The Conjuring: The Devil Made Me Do It,112 min,R,6.3,(2021)
F9: The Fast Saga,143 min,PG-13,5.2,(2021)
Cruella,134 min,PG-13,7.3,(2021)
Army of the Dead,148 min,R,5.7,(2021)
I Am All Girls,107 min,TV-MA,5.9,(2021)
Spiral,93 min,R,5.2,(2021)
Those Who Wish Me Dead,100 min,R,6.0,(2021)
Without Remorse,109 min,R,5.8,(II) (2021)
The Virtuoso,110 min,R,4.9,(2021)
Things Heard & Seen,121 min,TV-MA,5.3,(2021)
Justice Society: World War II,84 min,PG-13,6.4,(2021)
Wrath of Man,119 min,R,7.1,(2021)
The Mitchells vs the Machines,114 min,PG,7.6,(2021)
Stowaway,116 min,TV-MA,5.6,(I) (2021)
Thunder Force,106 min,PG-13,4.5,(2021)
Voyagers,108 min,PG-13,5.4,(2021)
Mortal Kombat,110 min,R,6.0,(2021)
Home Sweet Home Alone,93 min,PG,3.6,(2021)
Every Breath You Take,105 min,R,5.3,(2021)
The Unholy,99 min,PG-13,5.1,(2021)
Bad Trip,86 min,Unrated,6.5,(2021)
Peter Rabbit 2: The Runaway,93 min,PG,6.2,(2021)
Godzilla vs. Kong,113 min,PG-13,6.3,(2021)
Nobody,92 min,R,7.4,(I) (2021)
Zack Snyder's Justice League,242 min,R,8.0,(2021)
The Fallout,96 min,R,7.0,(2021)
Firebird,107 min,R,7.1,(I) (2021)
Deadly Illusions,114 min,R,3.7,(2021)
Gaia,96 min,R,5.6,(2021)
Yes Day,86 min,PG,5.7,(2021)
SAS: Red Notice,124 min,R,5.2,(2021)
Bad Luck Banging or Loony Porn,106 min,Not Rated,6.5,(2021)
Coming 2 America,110 min,PG-13,5.3,(2021)
Sentinelle,80 min,TV-MA,4.8,(2021)
Raya and the Last Dragon,107 min,PG,7.3,(2021)
Moxie,111 min,PG-13,6.7,(I) (2021)
Eiffel,108 min,R,6.2,(2021)
The Beta Test,93 min,Unrated,6.1,(2021)
Girl in the Basement,88 min,TV-14,6.3,(2021)
Cherry,142 min,R,6.6,(I) (2021)
Crisis,118 min,R,6.2,(2021)
The United States vs. Billie Holiday,126 min,R,6.3,(2021)
Son,98 min,Not Rated,5.6,(I) (2021)
The Girl on the Train,120 min,TV-MA,4.0,(2021)
Chaos Walking,109 min,PG-13,5.7,(2021)
American Underdog,112 min,PG,7.1,(2021)
Silk Road,112 min,R,6.0,(2021)
Flora & Ulysses,95 min,PG,6.2,(2021)
Cosmic Sin,88 min,R,2.5,(2021)
Willy's Wonderland,88 min,16+,5.5,(2021)
The Mauritanian,129 min,R,7.4,(2021)
Barb and Star Go to Vista Del Mar,107 min,PG-13,6.3,(2021)
The Map of Tiny Perfect Things,98 min,PG-13,6.8,(2021)
To All the Boys: Always and Forever,109 min,TV-14,6.3,(2021)
Tom & Jerry,101 min,PG,5.2,(II) (2021)
Fear of Rain,109 min,PG-13,5.9,(2021)
Red Dot,86 min,TV-MA,5.5,(2021)
Long Story Short,90 min,R,6.6,(2021)
Bliss,103 min,R,5.3,(I) (2021)
Space Sweepers,136 min,TV-MA,6.5,(2021)
Judas and the Black Messiah,126 min,R,7.4,(2021)
Prisoners of the Ghostland,103 min,14A,4.2,(2021)
